ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates
MX-0377;small_airport;Fumigaciones Aereas Perez Airport;66;NA;MX;MX-SIN;Mocorito;;;FAP;"-107.754583; 24.9652"
MX-0378;small_airport;El Laurel Airstrip;3281;NA;MX;MX-DUR;Topia;;;LUE;"-106.837591; 25.237494"
MX-0379;heliport;Paseo Tec Heliport;2047;NA;MX;MX-NLE;Monterrey;;;HPT;"-100.292795; 25.654779"
MX-0380;small_airport;Nahuatl Airstrip;3314;NA;MX;MX-DUR;Mezquital;;;NAH;"-104.620994; 22.694137"
MX-0381;heliport;Gobierno del Estado de Puebla Heliport;7277;NA;MX;MX-PUE;Puebla;;;HPW;"-98.164005; 19.076367"
MX-0382;heliport;Titanic Heliport;16;NA;MX;MX-BCN;Rosarito;;;HTI;"-117.037815; 32.286711"
MX-0383;small_airport;La Noria Airport;315;NA;MX;MX-SIN;Sinaloa de Leyva;;;NOA;"-107.281708; 24.90499"
MX-0384;small_airport;San Agustin Airport;102;NA;MX;MX-SON;San Ignacio;;;AGS;"-110.233888; 27.406389"
MX-0385;small_airport;El Fresnal Airport;4049;NA;MX;MX-CHH;Ascencion;;;FNL;"-107.530996; 31.038086"
MX-0386;small_airport;San Isidro Labrador Airport;138;NA;MX;MX-SON;Cajeme;;;SIL;"-109.908056; 27.370417"
MX-0387;small_airport;La Esperanza I Airport;1099;NA;MX;MX-MIC;Nueva Italia;;;LEE;"-102.112083; 18.987527"
MX-0388;small_airport;Las Alamandas Airport;10;NA;MX;MX-JAL;La Huerta;;;AMD;"-105.170937; 19.6225"
MX-0389;small_airport;El Paraiso Airport;213;NA;MX;MX-TAM;Gonzalez;;;PAG;"-98.487; 22.806972"
MX-0390;small_airport;La Alameda Mocorito Airport;262;NA;MX;MX-SIN;Mocorito;;;MFP;"-107.932295; 25.48014"
MX-0391;small_airport;Guadalupe de Llera Airport;328;NA;MX;MX-TAM;Villa de Llera;;;RGA;"-98.781319; 23.388579"
MX-0392;small_airport;Pueblito Airport;3412;NA;MX;MX-CHH;Aldama;;;PBL;"-105.126663; 29.068194"
MX-0393;heliport;Alsavision Heliport;7523;NA;MX;MX-DIF;Miguel Hidalgo;;;HSV;"-99.201368; 19.436581"
MX-0394;heliport;Jumex 303 Heliport;7303;NA;MX;MX-DIF;Miguel Hidalgo;;;HJM;"-99.20325; 19.440583"
MX-0395;closed;Palenque Old Airport;;NA;MX;MX-CHP;Palenque;;;;"-91.984442; 17.533596"
MX-0396;heliport;Hospital Dr. Manuel Gea GonzÃ¡lez Heliport;7552;NA;MX;MX-DIF;Tlalpan;;;HGG;"-99.161456; 19.290366"
MX-0397;heliport;Ecatepec Heliport;7424;NA;MX;MX-MEX;Ecatepec de Morelos;;;HEP;"-99.049292; 19.598723"
MX-0398;heliport;SSP Aguascalientes Heliport;6256;NA;MX;MX-AGU;Aguascalientes;;;HJN;"-102.257426; 21.877302"
MX-0399;small_airport;Huajuapan Airport;5440;NA;MX;MX-OAX;Huajuapan;;;JPA;"-97.743611; 17.815672"
MX-0400;small_airport;Plan de Iguala Airport;62;NA;MX;MX-SLP;Ebano;;;PLA;"-98.473092; 22.043206"
MX-0401;heliport;Centro de Datos Heliport;6490;NA;MX;MX-QUE;QuerÃ©taro;;;HQS;"-100.317596; 20.755789"
